contentVersion,class,spec,role,phase,context,setId,slot,itemId,tier,rank,sourceType,sourceName,activity,boss,faction,race,profession,notes,provenanceId,verificationStatus
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Head,13404,bis,1,dungeon,Stratholme,Stratholme,The Unforgiven,,,,Reviewed ranged physical target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Neck,15411,bis,1,quest,Western Plaguelands,In Dreams,,,,,Reviewed quest target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Shoulder,12927,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Pyroguard Emberseer,,,,Reviewed physical target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Back,13340,bis,1,dungeon,Stratholme,Stratholme,Baron Rivendare,,,,Reviewed physical target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Chest,11726,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Gorosh the Dervish,,,,Reviewed physical target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Wrist,13211,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,The Beast,,,,Reviewed physical target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Hands,15063,bis,1,crafted,Leatherworking,Leatherworking,,,,Leatherworking,Reviewed crafted Devilsaur target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Waist,13142,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,General Drakkisath,,,,Reviewed physical target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Legs,15062,bis,1,crafted,Leatherworking,Leatherworking,,,,Leatherworking,Reviewed crafted Devilsaur target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Feet,14616,bis,1,dungeon,Scholomance,Scholomance,Kirtonos the Herald,,,,Reviewed physical target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Finger 1,18500,bis,1,dungeon,Dire Maul,Dire Maul,Prince Tortheldrin,,,,Unique ring target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Finger 2,17713,bis,1,dungeon,Maraudon,Maraudon,Princess Theradras,,,,Unique ring target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Trinket 1,18473,bis,1,quest,Dire Maul,The Greatest Race of Hunters,,,,,Hunter class quest target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Trinket 2,13965,bis,1,quest,Upper Blackrock Spire,General Drakkisath's Demise,,,,,Reviewed quest target.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Main Hand,18520,bis,1,dungeon,Dire Maul,Dire Maul,King Gordok,,,Two-hand stat stick,Two-handed melee stat-stick path.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Main Hand,12940,strong,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Warchief Rend Blackhand,,,One-hand stat stick,One-hand paired alternative.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Off Hand / Shield,12939,strong,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Warchief Rend Blackhand,,,One-hand stat stick,Used only with a one-hand main-hand path.,hunter-classic-era-2026-09,curated
era,hunter,marksmanship,DPS,pre-raid,general,era-marksmanship-hunter-pre-raid,Ranged / Relic,12651,bis,1,dungeon,Lower Blackrock Spire,Lower Blackrock Spire,Shadow Hunter Vosh'gajin,,,Ranged weapon,Primary ranged weapon target.,hunter-classic-era-2026-09,curated
