contentVersion,class,spec,role,phase,context,setId,slot,itemId,tier,rank,sourceType,sourceName,activity,boss,faction,race,profession,notes,provenanceId,verificationStatus
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Head,13102,bis,1,world-drop,Azeroth,Azeroth,,,,,Aspirational healing head option.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Head,18727,excellent,1,dungeon,Stratholme,Stratholme,Magistrate Barthilas,,,,Realistic healing-oriented dungeon alternative.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Neck,18723,bis,1,dungeon,Stratholme,Stratholme,Ramstein the Gorger,,,,Healing-oriented dungeon target.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Shoulder,18681,bis,1,dungeon,Scholomance,Scholomance,Darkmaster Gandling,,,,Healing-oriented dungeon target.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Back,18510,bis,1,crafted,Leatherworking,Leatherworking,,,,Leatherworking,Healing-oriented crafted target.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Chest,13346,bis,1,dungeon,Stratholme,Stratholme,Baron Rivendare,,,,Healing-oriented dungeon target.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Wrist,13969,bis,1,dungeon,Blackrock Depths,Blackrock Depths,The Seven,,,,Healing-oriented dungeon target.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Hands,18527,bis,1,dungeon,Dire Maul,Dire Maul,Illyanna Ravenoak,,,,Healing-oriented dungeon target.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Waist,18327,bis,1,dungeon,Dire Maul,Dire Maul,Alzzin the Wildshaper,,,,Mana and healing context reviewed.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Legs,18386,bis,1,dungeon,Dire Maul,Dire Maul,Illyanna Ravenoak,,,,Mana and healing context reviewed.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Feet,11822,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Golem Lord Argelmach,,,,Mana and healing context reviewed.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Finger 1,16058,bis,1,quest,Western Plaguelands,In Dreams,,,,,Reviewed sustain-oriented quest ring.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Finger 2,18395,bis,1,dungeon,Dire Maul,Dire Maul,Prince Tortheldrin,,,,Reviewed healing ring.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Trinket 1,11819,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Golem Lord Argelmach,,,,Reviewed mana-sustain trinket.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Trinket 2,18469,bis,1,quest,Dire Maul,Holy Bologna: What the Light Won't Tell You,,,,,Priest healing class quest target.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Main Hand,11923,bis,1,dungeon,Blackrock Depths,Blackrock Depths,The Seven,,,One-hand,Healing-oriented one-hand path.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Main Hand,11932,strong,1,dungeon,Blackrock Depths,Blackrock Depths,Emperor Dagran Thaurissan,,,Two-hand staff,Two-handed staff alternative.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Off Hand / Shield,11928,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Emperor Dagran Thaurissan,,,Off-hand,Used with a one-hand main hand.,priest-classic-era-2026-09,curated
era,priest,holy,Healer,pre-raid,general,era-holy-priest-pre-raid,Ranged / Relic,18483,bis,1,dungeon,Dire Maul,Dire Maul,Cho'Rush the Observer,,,Wand,Healing and mana context reviewed.,priest-classic-era-2026-09,curated
