contentVersion,class,spec,role,phase,context,setId,slot,itemId,tier,rank,sourceType,sourceName,activity,boss,faction,race,profession,notes,provenanceId,verificationStatus
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Head,13404,bis,1,dungeon,Stratholme,Stratholme,The Unforgiven,,,,Reviewed melee progression target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Neck,15411,bis,1,quest,Western Plaguelands,In Dreams,,,,,Reviewed quest progression target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Shoulder,12927,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Pyroguard Emberseer,,,,Reviewed hit-oriented melee target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Back,13340,bis,1,dungeon,Stratholme,Stratholme,Baron Rivendare,,,,Reviewed melee progression target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Chest,14637,bis,1,dungeon,Scholomance,Scholomance,Rattlegore,,,,Reviewed leather progression target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Wrist,12966,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,The Beast,,,,Reviewed melee progression target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Hands,15063,bis,1,crafted,Leatherworking,Leatherworking,,,,Leatherworking,Reviewed crafted Devilsaur set target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Hands,14551,alternative,1,world-drop,Azeroth,Azeroth,,,,,Conditional weapon-skill world drop.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Waist,13142,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,General Drakkisath,,,,Reviewed melee progression target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Legs,15062,bis,1,crafted,Leatherworking,Leatherworking,,,,Leatherworking,Reviewed crafted Devilsaur set target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Feet,14616,bis,1,dungeon,Scholomance,Scholomance,Kirtonos the Herald,,,,Reviewed melee progression target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Finger 1,18500,bis,1,dungeon,Dire Maul,Dire Maul,Prince Tortheldrin,,,,Unique ring target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Finger 2,17713,bis,1,dungeon,Maraudon,Maraudon,Princess Theradras,,,,Unique ring target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Trinket 1,11815,bis,1,dungeon,Blackrock Depths,Blackrock Depths,Emperor Dagran Thaurissan,,,,Unique trinket target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Trinket 2,18465,bis,1,quest,Dire Maul,Garona: A Study on Stealth and Treachery,,,,,Rogue class quest target.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Main Hand,12940,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Warchief Rend Blackhand,,,Sword,Reviewed Combat main-hand sword.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Main Hand,11684,alternative,1,dungeon,Blackrock Depths,Blackrock Depths,Emperor Dagran Thaurissan,,,Mace,Conditional rare main-hand mace.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Off Hand / Shield,12939,bis,1,dungeon,Upper Blackrock Spire,Upper Blackrock Spire,Warchief Rend Blackhand,,,Sword,Reviewed Combat off-hand sword.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Off Hand / Shield,15806,strong,1,quest,Scholomance,Kirtonos the Herald,,,,Sword,Accessible off-hand sword alternative.,rogue-classic-era-2026-09,curated
era,rogue,combat,DPS,pre-raid,general,era-combat-rogue-pre-raid,Ranged / Relic,12651,bis,1,dungeon,Lower Blackrock Spire,Lower Blackrock Spire,Shadow Hunter Vosh'gajin,,,,Reviewed ranged utility slot.,rogue-classic-era-2026-09,curated
